Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Fix_Fade_Long,Outcome,Entry,SL,TP,Fix_Fade_Short
2008-10-22 18:00:00,0.0,1.6338,Yes,Long,1.0,Loss,1.6338,0,0,
2009-01-07 18:00:00,50.0,1.5255,Yes,Short,,Win,1.5255,0,0,1.0
2009-01-12 18:00:00,39.9,1.4828,Yes,Long,1.0,Loss,1.4828,0,0,
2009-01-13 18:00:00,26.4,1.453,Yes,Long,1.0,Loss,1.453,0,0,
2009-01-19 18:00:00,25.0,1.4521,Yes,Long,1.0,Loss,1.4521,0,0,
2009-01-20 18:00:00,25.0,1.4025,Yes,Long,1.0,Loss,1.4025,0,0,
2009-01-26 18:00:00,25.0,1.3961,Yes,Short,,Loss,1.3961,0,0,1.0
2009-02-25 18:00:00,15.1,1.4264,Yes,Long,1.0,Loss,1.4264,0,0,
2009-03-02 18:00:00,0.1,1.3988,Yes,Long,1.0,Win,1.3988,0,0,
2009-03-09 18:00:00,25.0,1.3757,Yes,Long,1.0,Win,1.3757,0,0,
2009-03-19 18:00:00,53.5,1.4585,Yes,Short,,Win,1.4585,0,0,1.0
2009-04-02 18:00:00,25.0,1.4742,Yes,Short,,Win,1.4742,0,0,1.0
2009-04-20 18:00:00,19.5,1.4541,Yes,Long,1.0,Win,1.4541,0,0,
2009-05-20 18:00:00,50.5,1.565,Yes,Short,,Loss,1.565,0,0,1.0
2009-06-01 18:00:00,91.3,1.6426,Yes,Short,,Loss,1.6426,0,0,1.0
2009-06-03 18:00:00,90.5,1.6383,Yes,Long,1.0,Loss,1.6383,0,0,
2009-06-09 18:00:00,0.5,1.6271,Yes,Short,,Loss,1.6271,0,0,1.0
2009-07-09 18:00:00,0.0,1.6232,Yes,Short,,Loss,1.6232,0,0,1.0
2009-08-03 18:00:00,58.7,1.6927,Yes,Short,,Win,1.6927,0,0,1.0
2009-08-06 18:00:00,86.4,1.6799,Yes,Long,1.0,Loss,1.6799,0,0,
2009-08-10 18:00:00,24.5,1.6532,Yes,Long,1.0,Loss,1.6532,0,0,
2009-08-17 18:00:00,50.0,1.6309,Yes,Long,1.0,Win,1.6309,0,0,
2009-08-18 18:00:00,25.0,1.6527,Yes,Short,,Loss,1.6527,0,0,1.0
2009-09-08 18:00:00,38.7,1.6563,Yes,Short,,Win,1.6563,0,0,1.0
2009-09-10 18:00:00,58.7,1.6672,Yes,Short,,Win,1.6672,0,0,1.0
2009-09-15 18:00:00,67.5,1.643,Yes,Long,1.0,Win,1.643,0,0,
2009-09-22 18:00:00,25.0,1.6371,Yes,Short,,Win,1.6371,0,0,1.0
2009-09-24 18:00:00,0.0,1.607,Yes,Long,1.0,Loss,1.607,0,0,
2009-10-15 18:00:00,50.0,1.6262,Yes,Short,,Loss,1.6262,0,0,1.0
2009-10-21 18:00:00,81.5,1.6621,Yes,Short,,Loss,1.6621,0,0,1.0
2009-10-29 18:00:00,50.0,1.6556,Yes,Short,,Win,1.6556,0,0,1.0
2009-11-11 18:00:00,29.9,1.6568,Yes,Long,1.0,Loss,1.6568,0,0,
2009-11-26 18:00:00,25.0,1.6495,Yes,Long,1.0,Win,1.6495,0,0,
2010-01-13 18:00:00,50.0,1.6285,Yes,Short,,Loss,1.6285,0,0,1.0
2010-02-04 18:00:00,50.0,1.576,Yes,Long,1.0,Loss,1.576,0,0,
2010-02-25 18:00:00,25.0,1.5198,Yes,Long,1.0,Win,1.5198,0,0,
2010-03-01 18:00:00,0.0,1.4971,Yes,Long,1.0,Win,1.4971,0,0,
2010-04-27 18:00:00,25.0,1.5342,Yes,Long,1.0,Loss,1.5342,0,0,
2010-05-04 18:00:00,0.0,1.5112,Yes,Long,1.0,Win,1.5112,0,0,
2010-05-06 18:00:00,0.0,1.4971,Yes,Long,1.0,Loss,1.4971,0,0,
2010-05-10 18:00:00,0.0,1.4987,Yes,Short,,Win,1.4987,0,0,1.0
2010-06-01 18:00:00,50.2,1.4698,Yes,Short,,Win,1.4698,0,0,1.0
2010-06-14 18:00:00,25.0,1.4787,Yes,Short,,Win,1.4787,0,0,1.0
2010-07-01 18:00:00,31.0,1.5111,Yes,Short,,Loss,1.5111,0,0,1.0
2010-07-13 18:00:00,0.3,1.5166,Yes,Short,,Win,1.5166,0,0,1.0
2010-08-02 18:00:00,70.4,1.5893,Yes,Short,,Win,1.5893,0,0,1.0
2010-08-10 18:00:00,60.1,1.5735,Yes,Long,1.0,Win,1.5735,0,0,
2010-08-11 18:00:00,20.3,1.5659,Yes,Long,1.0,Win,1.5659,0,0,
2010-09-08 18:00:00,25.0,1.5481,Yes,Short,,Win,1.5481,0,0,1.0
2010-10-19 18:00:00,29.1,1.5724,Yes,Long,1.0,Loss,1.5724,0,0,
2010-10-20 18:00:00,25.0,1.5853,Yes,Short,,Loss,1.5853,0,0,1.0
2010-10-26 18:00:00,0.0,1.5866,Yes,Short,,Win,1.5866,0,0,1.0
2010-10-28 18:00:00,25.0,1.5937,Yes,Short,,Win,1.5937,0,0,1.0
2010-11-04 18:00:00,95.2,1.628,Yes,Short,,Loss,1.628,0,0,1.0
2010-11-16 18:00:00,25.0,1.5879,Yes,Long,1.0,Win,1.5879,0,0,
2011-01-13 18:00:00,65.4,1.5868,Yes,Short,,Win,1.5868,0,0,1.0
2011-01-25 18:00:00,53.9,1.5815,Yes,Long,1.0,Win,1.5815,0,0,
2011-01-31 18:00:00,0.0,1.6039,Yes,Short,,Win,1.6039,0,0,1.0
2011-02-22 18:00:00,26.4,1.6126,Yes,Long,1.0,Win,1.6126,0,0,
2011-02-24 18:00:00,56.4,1.6103,Yes,Long,1.0,Win,1.6103,0,0,
2011-02-28 18:00:00,26.7,1.6245,Yes,Short,,Loss,1.6245,0,0,1.0
2011-03-10 18:00:00,50.5,1.6061,Yes,Long,1.0,Loss,1.6061,0,0,
2011-03-15 18:00:00,50.0,1.6062,Yes,Long,1.0,Win,1.6062,0,0,
2011-03-17 18:00:00,25.0,1.6141,Yes,Short,,Win,1.6141,0,0,1.0
2011-03-23 18:00:00,76.1,1.6244,Yes,Long,1.0,Loss,1.6244,0,0,
2011-04-05 18:00:00,50.0,1.6274,Yes,Short,,Loss,1.6274,0,0,1.0
2011-04-18 18:00:00,29.7,1.6198,Yes,Long,1.0,Win,1.6198,0,0,
2011-04-21 18:00:00,50.2,1.6569,Yes,Short,,Win,1.6569,0,0,1.0
2011-05-03 18:00:00,61.9,1.6489,Yes,Long,1.0,Loss,1.6489,0,0,
2011-06-15 18:00:00,0.0,1.6254,Yes,Long,1.0,Loss,1.6254,0,0,
2011-07-11 18:00:00,25.0,1.5885,Yes,Long,1.0,Win,1.5885,0,0,
2011-07-13 18:00:00,25.0,1.6082,Yes,Short,,Loss,1.6082,0,0,1.0
2011-07-21 18:00:00,74.6,1.6297,Yes,Short,,Loss,1.6297,0,0,1.0
2011-07-26 18:00:00,85.6,1.6387,Yes,Short,,Loss,1.6387,0,0,1.0
2011-08-01 18:00:00,87.6,1.626,Yes,Long,1.0,Win,1.626,0,0,
2011-08-03 18:00:00,31.8,1.6409,Yes,Short,,Loss,1.6409,0,0,1.0
2011-08-10 18:00:00,0.0,1.6141,Yes,Long,1.0,Win,1.6141,0,0,
2011-08-30 18:00:00,25.0,1.6274,Yes,Long,1.0,Win,1.6274,0,0,
2011-09-21 18:00:00,0.0,1.5605,Yes,Long,1.0,Loss,1.5605,0,0,
2011-09-22 18:00:00,0.0,1.534,Yes,Long,1.0,Win,1.534,0,0,
2011-09-27 18:00:00,25.0,1.5699,Yes,Short,,Win,1.5699,0,0,1.0
2011-10-12 18:00:00,25.3,1.5775,Yes,Short,,Win,1.5775,0,0,1.0
2011-11-09 18:00:00,50.0,1.5955,Yes,Long,1.0,Loss,1.5955,0,0,
2011-11-14 18:00:00,25.0,1.5896,Yes,Long,1.0,Win,1.5896,0,0,
2011-11-23 18:00:00,0.0,1.5509,Yes,Long,1.0,Win,1.5509,0,0,
2011-11-29 18:00:00,50.0,1.5622,Yes,Short,,Win,1.5622,0,0,1.0
2012-01-03 18:00:00,25.0,1.56524,Yes,Short,,Win,1.56524,0,0,1.0
2012-01-05 18:00:00,25.0,1.54767,Yes,Long,1.0,Win,1.54767,0,0,
2012-01-11 18:00:00,50.0,1.53232,Yes,Long,1.0,Loss,1.53232,0,0,
2012-02-01 18:00:00,96.8,1.58503,Yes,Short,,Win,1.58503,0,0,1.0
2012-02-16 18:00:00,25.0,1.57924,Yes,Short,,Loss,1.57924,0,0,1.0
2012-02-22 18:00:00,1.6,1.56749,Yes,Long,1.0,Loss,1.56749,0,0,
2012-03-06 18:00:00,41.7,1.57192,Yes,Long,1.0,Win,1.57192,0,0,
2012-03-08 18:00:00,25.0,1.58197,Yes,Short,,Win,1.58197,0,0,1.0
2012-03-13 18:00:00,0.0,1.57341,Yes,Short,,Win,1.57341,0,0,1.0
2012-03-28 18:00:00,82.9,1.58488,Yes,Long,1.0,Win,1.58488,0,0,
2012-04-18 18:00:00,56.4,1.60295,Yes,Short,,Win,1.60295,0,0,1.0
