Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,NY_Sweep_Asia_Low,Outcome,Entry,SL,TP,NY_Sweep_Asia_High
2015-06-24 19:00:00,58.9,1.56799,Yes,Long,1.0,Win,1.56799,0,0,
2015-06-25 17:00:00,22.4,1.57482,Yes,Short,,Win,1.57482,0,0,1.0
2015-06-26 18:00:00,35.9,1.5729,Yes,Short,,Win,1.5729,0,0,1.0
2015-06-29 15:00:00,0.2,1.56995,Yes,Long,1.0,Win,1.56995,0,0,
2015-06-30 16:00:00,50.0,1.57575,Yes,Short,,Win,1.57575,0,0,1.0
2015-07-01 20:00:00,25.0,1.56171,Yes,Long,1.0,Loss,1.56171,0,0,
2015-07-02 16:00:00,0.0,1.56128,Yes,Short,,Win,1.56128,0,0,1.0
2015-07-06 18:00:00,25.0,1.56023,Yes,Short,,Loss,1.56023,0,0,1.0
2015-07-08 18:00:00,0.0,1.5352,Yes,Long,1.0,Win,1.5352,0,0,
2015-07-09 20:00:00,0.0,1.53529,Yes,Long,1.0,Win,1.53529,0,0,
2015-07-10 15:00:00,25.0,1.55167,Yes,Short,,Win,1.55167,0,0,1.0
2015-07-13 21:00:00,50.0,1.54888,Yes,Long,1.0,Loss,1.54888,0,0,
2015-07-15 23:00:00,25.0,1.56406,Yes,Long,1.0,Loss,1.56406,0,0,
2015-07-16 15:00:00,50.4,1.55726,Yes,Long,1.0,Win,1.55726,0,0,
2015-07-17 16:00:00,9.5,1.55823,Yes,Long,1.0,Win,1.55823,0,0,
2015-07-21 19:00:00,31.1,1.55495,Yes,Short,,Loss,1.55495,0,0,1.0
2015-07-23 20:00:00,65.2,1.5513,Yes,Long,1.0,Win,1.5513,0,0,
2015-07-24 19:00:00,50.1,1.55127,Yes,Short,,Loss,1.55127,0,0,1.0
2015-07-27 18:00:00,0.0,1.55783,Yes,Short,,Win,1.55783,0,0,1.0
2015-07-28 19:00:00,50.0,1.5615,Yes,Short,,Win,1.5615,0,0,1.0
2015-07-30 19:00:00,50.0,1.55813,Yes,Long,1.0,Win,1.55813,0,0,
