Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Judas_Long,Outcome,Entry,SL,TP,Judas_Short
2015-03-17 10:00:00,0.0,1.48258,Yes,Short,,Win,1.48258,1.48448,1.47858,1.0
2015-03-18 11:00:00,25.0,1.47558,Yes,Long,1.0,Loss,1.47558,1.47261,1.48152,
2015-03-19 12:00:00,25.0,1.48967,Yes,Long,1.0,Loss,1.48967,1.47952,1.50997,
2015-03-23 16:00:00,25.0,1.49208,Yes,Long,1.0,Loss,1.49208,1.48807,1.5001,
2015-03-24 10:00:00,25.0,1.49435,Yes,Long,1.0,Loss,1.49435,1.49179,1.49947,
2015-03-24 15:00:00,25.0,1.49301,Yes,Long,1.0,Loss,1.49301,1.48911,1.50081,
2015-03-25 11:00:00,50.6,1.48654,Yes,Short,,Loss,1.48654,1.4896,1.48042,1.0
2015-03-26 16:00:00,37.6,1.48504,Yes,Short,,Loss,1.48504,1.49468,1.46576,1.0
2015-03-31 13:00:00,3.2,1.47736,Yes,Long,1.0,Win,1.47736,1.47554,1.48136,
2015-04-02 11:00:00,25.0,1.48395,Yes,Short,,Win,1.48395,1.48682,1.47821,1.0
2015-04-06 13:00:00,50.0,1.49301,Yes,Short,,Loss,1.49301,1.49433,1.48901,1.0
2015-04-07 10:00:00,50.5,1.48904,Yes,Short,,Win,1.48904,1.49203,1.48306,1.0
2015-04-09 10:00:00,6.5,1.48681,Yes,Long,1.0,Loss,1.48681,1.48505,1.49081,
2015-04-13 18:00:00,0.0,1.46426,Yes,Short,,Loss,1.46426,1.46753,1.45772,1.0
2015-04-14 15:00:00,0.0,1.4664,Yes,Long,1.0,Win,1.4664,1.461,1.4772,
2015-04-15 15:00:00,50.0,1.47458,Yes,Long,1.0,Win,1.47458,1.47018,1.48338,
2015-04-16 10:00:00,50.0,1.48308,Yes,Long,1.0,Loss,1.48308,1.48121,1.48708,
2015-04-16 13:00:00,50.0,1.48586,Yes,Long,1.0,Win,1.48586,1.48119,1.4952,
2015-04-20 11:00:00,50.8,1.49585,Yes,Long,1.0,Loss,1.49585,1.49349,1.50057,
2015-04-21 12:00:00,9.4,1.48799,Yes,Long,1.0,Win,1.48799,1.48562,1.49273,
2015-04-23 15:00:00,90.5,1.50284,Yes,Long,1.0,Loss,1.50284,1.49859,1.51134,
2015-04-23 18:00:00,90.5,1.50546,Yes,Long,1.0,Win,1.50546,1.49802,1.52034,
2015-04-27 18:00:00,92.0,1.52093,Yes,Long,1.0,Win,1.52093,1.51071,1.54137,
2015-04-28 10:00:00,91.9,1.52339,Yes,Short,,Loss,1.52339,1.52538,1.51939,1.0
2015-04-28 12:00:00,92.1,1.52127,Yes,Short,,Loss,1.52127,1.52612,1.51157,1.0
2015-04-30 10:00:00,91.9,1.54302,Yes,Long,1.0,Win,1.54302,1.54014,1.54878,
2015-05-04 10:00:00,36.9,1.51368,Yes,Short,,Loss,1.51368,1.51746,1.50612,1.0
2015-05-05 10:00:00,19.7,1.51088,Yes,Short,,Loss,1.51088,1.51388,1.50488,1.0
2015-05-05 12:00:00,16.7,1.5125,Yes,Short,,Loss,1.5125,1.51517,1.50716,1.0
2015-05-06 11:00:00,29.4,1.51844,Yes,Short,,Loss,1.51844,1.52411,1.5071,1.0
2015-05-07 13:00:00,50.3,1.52373,Yes,Long,1.0,Win,1.52373,1.51634,1.53851,
2015-05-11 13:00:00,50.1,1.54464,Yes,Long,1.0,Win,1.54464,1.53929,1.55534,
2015-05-12 11:00:00,53.5,1.55585,Yes,Short,,Loss,1.55585,1.55961,1.54833,1.0
2015-05-12 12:00:00,53.5,1.56342,Yes,Long,1.0,Win,1.56342,1.55572,1.57882,
2015-05-13 13:00:00,65.8,1.56578,Yes,Short,,Loss,1.56578,1.57469,1.54796,1.0
2015-05-14 11:00:00,85.4,1.57578,Yes,Short,,Loss,1.57578,1.57886,1.56962,1.0
2015-05-14 18:00:00,87.8,1.5758,Yes,Short,,Win,1.5758,1.58124,1.56492,1.0
2015-05-19 11:00:00,41.1,1.55954,Yes,Short,,Win,1.55954,1.56697,1.54468,1.0
2015-05-20 12:00:00,24.5,1.55072,Yes,Long,1.0,Win,1.55072,1.54724,1.55768,
2015-05-21 11:00:00,32.4,1.5562,Yes,Long,1.0,Win,1.5562,1.55252,1.56356,
2015-05-25 12:00:00,0.0,1.54835,Yes,Short,,Win,1.54835,1.55076,1.54353,1.0
2015-05-27 10:00:00,0.0,1.54119,Yes,Short,,Win,1.54119,1.54369,1.53619,1.0
2015-05-28 11:00:00,0.0,1.53687,Yes,Short,,Loss,1.53687,1.5382,1.53287,1.0
2015-05-28 12:00:00,0.0,1.53341,Yes,Short,,Win,1.53341,1.53856,1.52311,1.0
2015-06-01 17:00:00,0.0,1.52666,Yes,Long,1.0,Loss,1.52666,1.51978,1.54042,
