UA_Time,Trigger_Direction,HTF_Bullish_Prob_%,Close_Price,In_4h_Bear_FVG,1h_Bearish_Flip,In_4h_Bull_FVG,1h_Bullish_Flip
2019-12-16 12:00:00,Long,86.9,1.33673,,,1.0,1.0
2019-12-20 13:00:00,Short,0.0,1.302,1.0,1.0,,
2020-01-08 11:00:00,Short,61.2,1.31203,1.0,1.0,,
2020-01-30 11:00:00,Long,25.0,1.30158,,,1.0,1.0
2020-01-30 13:00:00,Long,25.0,1.30605,,,1.0,1.0
2020-02-04 08:00:00,Short,25.0,1.29953,1.0,1.0,,
2020-05-05 16:00:00,Long,80.4,1.24541,,,1.0,1.0
2020-05-07 19:00:00,Long,0.9,1.23471,,,1.0,1.0
2020-05-12 16:00:00,Short,25.0,1.23602,1.0,1.0,,
2020-05-18 12:00:00,Short,0.0,1.21044,1.0,1.0,,
2020-06-16 12:00:00,Long,0.0,1.26437,,,1.0,1.0
2020-06-19 11:00:00,Short,0.0,1.24335,1.0,1.0,,
2020-07-01 12:00:00,Long,50.0,1.23862,,,1.0,1.0
2020-07-10 15:00:00,Short,93.3,1.25983,1.0,1.0,,
2020-07-20 04:00:00,Short,1.7,1.25463,1.0,1.0,,
2020-07-23 17:00:00,Long,39.3,1.27227,,,1.0,1.0
2020-07-30 11:00:00,Long,97.1,1.29849,,,1.0,1.0
2020-08-07 16:00:00,Long,89.7,1.30968,,,1.0,1.0
2020-08-20 16:00:00,Short,39.8,1.31016,1.0,1.0,,
2020-08-24 11:00:00,Short,16.7,1.31028,1.0,1.0,,
2020-09-04 13:00:00,Short,34.4,1.32974,1.0,1.0,,
2020-09-17 17:00:00,Long,50.0,1.29084,,,1.0,1.0
2020-10-22 14:00:00,Long,50.3,1.31003,,,1.0,1.0
2020-10-27 14:00:00,Short,43.4,1.30292,1.0,1.0,,
2020-10-29 11:00:00,Long,13.9,1.30097,,,1.0,1.0
2020-11-05 11:00:00,Long,25.0,1.30476,,,1.0,1.0
2020-12-07 20:00:00,Short,64.2,1.33436,1.0,1.0,,
2020-12-08 15:00:00,Long,7.0,1.33488,,,1.0,1.0
2020-12-22 18:00:00,Long,11.4,1.33463,,,1.0,1.0
2020-12-25 01:00:00,Short,62.1,1.35357,1.0,1.0,,
2021-01-05 09:00:00,Short,55.5,1.35689,1.0,1.0,,
2021-01-14 11:00:00,Short,50.0,1.36519,1.0,1.0,,
2021-01-25 12:00:00,Long,64.4,1.36953,,,1.0,1.0
2021-02-03 09:00:00,Long,0.0,1.36708,,,1.0,1.0
2021-02-16 17:00:00,Long,94.3,1.39269,,,1.0,1.0
2021-03-02 15:00:00,Short,3.2,1.39111,1.0,1.0,,
2021-03-18 16:00:00,Long,62.9,1.39263,,,1.0,1.0
2021-04-13 16:00:00,Long,25.0,1.37297,,,1.0,1.0
2021-04-26 17:00:00,Long,49.0,1.38871,,,1.0,1.0
2021-05-20 12:00:00,Short,48.9,1.41114,1.0,1.0,,
2021-05-24 11:00:00,Long,61.2,1.41672,,,1.0,1.0
2021-06-07 11:00:00,Long,0.0,1.41347,,,1.0,1.0
2021-06-10 18:00:00,Short,25.0,1.41423,1.0,1.0,,
2021-06-16 12:00:00,Short,25.0,1.41033,1.0,1.0,,
2021-07-07 16:00:00,Short,25.0,1.38214,1.0,1.0,,
2021-07-09 18:00:00,Short,0.0,1.38332,1.0,1.0,,
2021-07-22 20:00:00,Long,25.0,1.37657,,,1.0,1.0
2021-07-26 10:00:00,Short,25.0,1.37486,1.0,1.0,,
2021-07-27 17:00:00,Short,50.0,1.38156,1.0,1.0,,
2021-08-24 13:00:00,Long,50.0,1.37105,,,1.0,1.0
2021-08-27 12:00:00,Short,50.0,1.37019,1.0,1.0,,
2021-09-02 11:00:00,Long,34.7,1.37887,,,1.0,1.0
2021-09-10 20:00:00,Long,61.1,1.38535,,,1.0,1.0
2021-09-13 08:00:00,Short,36.0,1.38256,1.0,1.0,,
2021-09-16 11:00:00,Long,0.0,1.3822,,,1.0,1.0
2021-09-24 17:00:00,Long,25.0,1.36876,,,1.0,1.0
2021-10-13 17:00:00,Long,53.7,1.36383,,,1.0,1.0
2021-10-26 15:00:00,Short,54.6,1.38066,1.0,1.0,,
2021-10-28 12:00:00,Short,4.3,1.37498,1.0,1.0,,
2021-11-11 09:00:00,Short,25.0,1.33909,1.0,1.0,,
2021-12-10 16:00:00,Short,25.0,1.32082,1.0,1.0,,
2021-12-31 14:00:00,Long,94.5,1.3482,,,1.0,1.0
2022-01-10 17:00:00,Long,62.6,1.35603,,,1.0,1.0
2022-03-11 14:00:00,Short,25.0,1.30919,1.0,1.0,,
2022-04-06 14:00:00,Short,50.0,1.30832,1.0,1.0,,
2022-04-19 13:00:00,Short,25.0,1.30284,1.0,1.0,,
2022-04-20 12:00:00,Long,0.0,1.3029,,,1.0,1.0
2022-05-03 15:00:00,Long,25.0,1.25313,,,1.0,1.0
2022-05-09 17:00:00,Short,0.0,1.23104,1.0,1.0,,
2022-05-18 13:00:00,Long,50.0,1.241,,,1.0,1.0
2022-05-19 09:00:00,Short,50.1,1.23643,1.0,1.0,,
2022-05-25 19:00:00,Short,66.7,1.25389,1.0,1.0,,
