Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,Swept_AL_Into_FVG,1h_Bullish_Flip,Outcome,Entry,SL,TP,Swept_AH_Into_FVG,1h_Bearish_Flip
2005-02-04 19:00:00,35.9,1.8794,Yes,Short,,,Win,1.8794,1.8814,1.8754,1.0,1.0
2005-02-10 16:00:00,25.0,1.866,Yes,Long,1.0,1.0,Win,1.866,1.864,1.87,,
2005-02-11 12:00:00,25.0,1.8666,Yes,Long,1.0,1.0,Loss,1.8666,1.8646,1.8706,,
2005-02-15 17:00:00,50.0,1.8875,Yes,Long,1.0,1.0,Win,1.8875,1.8855,1.8915,,
2005-02-18 16:00:00,81.4,1.8948,Yes,Long,1.0,1.0,Loss,1.8948,1.8928,1.8988,,
2005-02-23 11:00:00,93.1,1.91,Yes,Long,1.0,1.0,Loss,1.91,1.908,1.914,,
2005-02-24 13:00:00,67.4,1.9116,Yes,Short,,,Loss,1.9116,1.9136,1.9076,1.0,1.0
2005-02-24 23:00:00,41.9,1.9099,Yes,Short,,,Loss,1.9099,1.9119,1.9059,1.0,1.0
2005-02-25 10:00:00,66.3,1.9104,Yes,Short,,,Loss,1.9104,1.9124,1.9064,1.0,1.0
2005-03-15 18:00:00,34.3,1.9131,Yes,Short,,,Loss,1.9131,1.9151,1.9091,1.0,1.0
2005-03-22 21:00:00,25.0,1.8845,Yes,Short,,,Win,1.8845,1.8865,1.8805,1.0,1.0
2005-03-23 10:00:00,0.0,1.8841,Yes,Short,,,Win,1.8841,1.8861,1.8801,1.0,1.0
2005-03-31 12:00:00,50.0,1.8826,Yes,Long,1.0,1.0,Win,1.8826,1.8806,1.8866,,
2005-04-01 18:00:00,50.0,1.8786,Yes,Long,1.0,1.0,Win,1.8786,1.8766,1.8826,,
2005-04-06 15:00:00,45.7,1.8795,Yes,Short,,,Win,1.8795,1.8815,1.8755,1.0,1.0
2005-04-07 12:00:00,69.3,1.8808,Yes,Short,,,Win,1.8808,1.8828,1.8768,1.0,1.0
2005-04-20 18:00:00,81.3,1.9169,Yes,Long,1.0,1.0,Win,1.9169,1.9149,1.9209,,
2005-04-22 20:00:00,32.7,1.9138,Yes,Short,,,Loss,1.9138,1.9158,1.9098,1.0,1.0
2005-04-25 18:00:00,57.9,1.9121,Yes,Long,1.0,1.0,Loss,1.9121,1.9101,1.9161,,
