Datetime_Kyiv,Direction,Entry_Price,Asian_Box_Long,Outcome,Hold_Bars,Asian_Box_Short
2017-05-19 12:00:00,Long,1.30009,1.0,Win,8,
2017-06-05 12:00:00,Long,1.28905,1.0,Win,8,
2017-06-07 12:00:00,Short,1.2903,,Loss,8,1.0
2017-06-19 12:00:00,Long,1.28041,1.0,Loss,8,
2017-07-11 12:00:00,Long,1.2912,1.0,Loss,8,
2017-07-20 12:00:00,Short,1.29994,,Win,8,1.0
2017-08-04 12:00:00,Long,1.31466,1.0,Loss,8,
2017-08-14 12:00:00,Short,1.29784,,Loss,8,1.0
2017-08-15 12:00:00,Short,1.29197,,Win,8,1.0
2017-09-04 12:00:00,Short,1.29373,,Win,8,1.0
2017-09-29 12:00:00,Short,1.33731,,Loss,8,1.0
2017-10-05 12:00:00,Short,1.3192,,Win,8,1.0
2017-11-01 11:00:00,Long,1.33023,1.0,Loss,8,
2017-11-27 11:00:00,Long,1.33478,1.0,Loss,8,
2017-12-13 11:00:00,Long,1.33482,1.0,Win,8,
2017-12-27 11:00:00,Long,1.3408,1.0,Loss,8,
2018-02-02 11:00:00,Short,1.42161,,Win,8,1.0
2018-02-21 11:00:00,Short,1.39688,,Win,8,1.0
2018-02-23 11:00:00,Long,1.39677,1.0,Win,8,
2018-03-12 11:00:00,Long,1.38771,1.0,Win,8,
2018-03-21 11:00:00,Long,1.40316,1.0,Win,8,
2018-03-23 11:00:00,Short,1.41043,,Loss,8,1.0
2018-03-27 12:00:00,Short,1.4148,,Loss,8,1.0
2018-04-02 12:00:00,Long,1.40658,1.0,Loss,8,
2018-04-26 12:00:00,Short,1.39108,,Loss,8,1.0
2018-06-27 12:00:00,Short,1.3195,,Win,8,1.0
2018-07-30 12:00:00,Long,1.31259,1.0,Win,8,
2018-08-06 12:00:00,Short,1.29628,,Win,8,1.0
2018-08-22 12:00:00,Short,1.28833,,Loss,8,1.0
2018-09-14 12:00:00,Long,1.31316,1.0,Loss,8,
2018-09-20 12:00:00,Long,1.31902,1.0,Win,8,
2018-09-24 12:00:00,Long,1.31183,1.0,Win,8,
2018-09-25 12:00:00,Long,1.31428,1.0,Win,8,
2018-09-26 12:00:00,Short,1.31707,,Loss,8,1.0
2018-09-28 12:00:00,Short,1.30714,,Win,8,1.0
2018-10-01 12:00:00,Long,1.30577,1.0,Loss,8,
2018-10-12 12:00:00,Long,1.32178,1.0,Loss,8,
2018-10-24 12:00:00,Short,1.29333,,Win,8,1.0
2018-10-30 11:00:00,Short,1.27808,,Win,8,1.0
2018-10-31 11:00:00,Long,1.27463,1.0,Win,8,
2018-11-02 11:00:00,Long,1.30244,1.0,Loss,8,
2018-11-23 11:00:00,Short,1.28489,,Win,8,1.0
2018-11-29 11:00:00,Short,1.27804,,Win,8,1.0
2018-11-30 11:00:00,Long,1.27638,1.0,Loss,8,
2018-12-07 11:00:00,Short,1.27569,,Win,8,1.0
2018-12-17 11:00:00,Long,1.26,1.0,Win,8,
2019-01-07 11:00:00,Short,1.27499,,Loss,8,1.0
2019-01-09 11:00:00,Long,1.2753,1.0,Win,8,
2019-01-23 11:00:00,Long,1.29855,1.0,Win,8,
2019-02-07 11:00:00,Short,1.29069,,Loss,8,1.0
2019-02-08 11:00:00,Short,1.29317,,Win,8,1.0
2019-02-12 11:00:00,Short,1.28469,,Loss,8,1.0
2019-03-18 11:00:00,Short,1.3253,,Win,8,1.0
2019-04-18 12:00:00,Short,1.3021,,Win,8,1.0
2019-05-15 12:00:00,Long,1.29135,1.0,Loss,8,
2019-05-16 12:00:00,Short,1.2836,,Win,8,1.0
2019-05-20 12:00:00,Long,1.27445,1.0,Loss,8,
2019-05-29 12:00:00,Short,1.26422,,Win,8,1.0
2019-05-31 12:00:00,Long,1.26147,1.0,Win,8,
2019-06-12 12:00:00,Long,1.27431,1.0,Loss,8,
2019-06-14 12:00:00,Short,1.26615,,Win,8,1.0
2019-07-05 12:00:00,Short,1.25551,,Win,8,1.0
2019-08-15 12:00:00,Long,1.20824,1.0,Win,8,
2019-08-27 12:00:00,Long,1.22544,1.0,Win,8,
2019-09-06 12:00:00,Short,1.22978,,Win,8,1.0
2019-09-17 12:00:00,Short,1.24031,,Loss,8,1.0
2019-09-18 12:00:00,Short,1.24482,,Loss,8,1.0
2019-09-24 12:00:00,Short,1.24281,,Loss,8,1.0
2019-09-27 12:00:00,Short,1.22843,,Loss,8,1.0
2019-09-30 12:00:00,Long,1.23274,1.0,Loss,8,
2019-10-01 12:00:00,Long,1.22837,1.0,Win,8,
2019-10-04 12:00:00,Short,1.23289,,Win,8,1.0
2019-10-22 12:00:00,Short,1.29396,,Loss,8,1.0
2019-10-24 12:00:00,Short,1.28872,,Win,8,1.0
2019-10-29 11:00:00,Short,1.28203,,Loss,8,1.0
2019-11-04 11:00:00,Short,1.29203,,Win,8,1.0
2019-11-06 11:00:00,Long,1.28857,1.0,Loss,8,
2019-11-07 11:00:00,Long,1.28671,1.0,Loss,8,
2019-11-08 11:00:00,Long,1.28088,1.0,Loss,8,
2019-11-13 11:00:00,Short,1.28527,,Win,8,1.0
2019-11-21 11:00:00,Long,1.29438,1.0,Loss,8,
2019-12-23 11:00:00,Long,1.30096,1.0,Loss,8,
2020-01-06 11:00:00,Long,1.31429,1.0,Win,8,
2020-01-09 11:00:00,Short,1.30279,,Loss,8,1.0
2020-02-07 11:00:00,Short,1.29291,,Win,8,1.0
2020-02-18 11:00:00,Short,1.29956,,Loss,8,1.0
2020-02-24 11:00:00,Short,1.28961,,Loss,8,1.0
2020-04-03 12:00:00,Short,1.23004,,Win,8,1.0
2020-04-06 12:00:00,Long,1.23101,1.0,Loss,8,
2020-05-25 12:00:00,Short,1.21816,,Loss,8,1.0
2020-06-25 12:00:00,Long,1.24437,1.0,Loss,8,
2020-07-29 12:00:00,Long,1.29664,1.0,Win,8,
2020-09-25 12:00:00,Long,1.27643,1.0,Loss,8,
2020-09-28 12:00:00,Long,1.28251,1.0,Win,8,
2020-10-06 12:00:00,Short,1.29911,,Win,8,1.0
2020-11-03 11:00:00,Long,1.29912,1.0,Win,8,
2020-11-19 11:00:00,Short,1.32091,,Loss,8,1.0
2020-12-15 11:00:00,Short,1.33177,,Loss,8,1.0
