Datetime_Kyiv,Trend_%,Close_Price,Signal_Triggered,Direction,LDN_Protected_AH_Short,Outcome,Entry,SL,TP,LDN_Protected_AL_Long
2025-12-12 10:00:00,81.5,1.3378,Yes,Long,,Loss,1.3378,1.3358,1.3418,1.0
2025-12-18 10:00:00,18.4,1.33591,Yes,Long,,Win,1.33591,1.33391,1.33991,1.0
2025-12-19 10:00:00,69.2,1.33736,Yes,Long,,Win,1.33736,1.33536,1.34136,1.0
2025-12-24 10:00:00,69.1,1.35217,Yes,Long,,Loss,1.35217,1.35017,1.35617,1.0
2026-01-01 10:00:00,16.3,1.3474,Yes,Long,,Loss,1.3474,1.3454,1.3514,1.0
2026-01-02 10:00:00,29.8,1.34535,Yes,Long,,Win,1.34535,1.34335,1.34935,1.0
2026-01-05 10:00:00,25.0,1.34256,Yes,Short,1.0,Loss,1.34256,1.34456,1.33856,
2026-01-06 10:00:00,25.0,1.35536,Yes,Long,,Loss,1.35536,1.35336,1.35936,1.0
2026-01-07 10:00:00,50.0,1.34959,Yes,Short,1.0,Win,1.34959,1.35159,1.34559,
2026-01-14 10:00:00,50.0,1.34496,Yes,Short,1.0,Win,1.34496,1.34696,1.34096,
2026-01-19 10:00:00,0.0,1.3409,Yes,Short,1.0,Loss,1.3409,1.3429,1.3369,
2026-01-26 10:00:00,61.4,1.36621,Yes,Long,,Win,1.36621,1.36421,1.37021,1.0
2026-02-23 10:00:00,25.0,1.35155,Yes,Long,,Loss,1.35155,1.34955,1.35555,1.0
2026-02-26 10:00:00,50.0,1.35235,Yes,Long,,Loss,1.35235,1.35035,1.35635,1.0
