Datetime,Profile_Type,Close_Price,Price_ZScore
2015-07-10 05:00:00-04:00,Bearish Setup Detected,1.5486,3.7549872514950624
2015-07-10 06:00:00-04:00,Bearish Setup Detected,1.55227,4.073679303582617
2015-07-10 07:00:00-04:00,Bearish Setup Detected,1.55167,3.3678972179247615
2015-07-10 08:00:00-04:00,Bearish Setup Detected,1.55233,3.1016921151498664
2015-07-10 09:00:00-04:00,Bearish Setup Detected,1.55173,2.6756316217596465
2015-07-14 05:00:00-04:00,Bearish Setup Detected,1.55823,2.88611419407787
2015-07-14 08:00:00-04:00,Bearish Setup Detected,1.56048,2.9478206017183464
2015-07-14 13:00:00-04:00,Bearish Setup Detected,1.56332,2.82811824270564
2015-07-14 14:00:00-04:00,Bearish Setup Detected,1.56331,2.5756474587272216
2015-07-22 02:00:00-04:00,Bearish Setup Detected,1.5614,3.0686492319273775
2015-07-22 03:00:00-04:00,Bearish Setup Detected,1.56149,2.9165009188933855
2015-07-22 04:00:00-04:00,Bearish Setup Detected,1.56271,3.4806417126172344
2015-07-22 05:00:00-04:00,Bearish Setup Detected,1.56131,2.5963003193576575
2015-07-22 07:00:00-04:00,Bearish Setup Detected,1.56275,2.8760595814627106
2015-07-22 08:00:00-04:00,Bearish Setup Detected,1.5633,2.8157780704031805
2015-07-27 10:00:00-04:00,Bearish Setup Detected,1.55783,3.326936555340487
2015-07-27 11:00:00-04:00,Bearish Setup Detected,1.55937,3.8071828515299058
2015-07-29 09:00:00-04:00,Bearish Setup Detected,1.56779,2.795697120348282
2015-08-04 21:00:00-04:00,Bullish Setup Detected,1.55407,-2.5024815001522818
2015-08-06 07:00:00-04:00,Bullish Setup Detected,1.5491,-3.3221310225568508
2015-08-10 12:00:00-04:00,Bearish Setup Detected,1.55939,3.6733684659221453
2015-08-10 13:00:00-04:00,Bearish Setup Detected,1.55947,3.238650179650689
2015-08-10 14:00:00-04:00,Bearish Setup Detected,1.56037,3.155148054011862
2015-08-12 10:00:00-04:00,Bearish Setup Detected,1.56371,2.8995807209725752
2015-08-12 11:00:00-04:00,Bearish Setup Detected,1.56393,2.89126880663784
2015-08-12 12:00:00-04:00,Bearish Setup Detected,1.56462,2.941247809699761
2015-08-14 12:00:00-04:00,Bearish Setup Detected,1.56489,2.5152861647760454
2015-08-14 14:00:00-04:00,Bearish Setup Detected,1.56511,2.6013332266073412
2015-08-20 05:00:00-04:00,Bullish Setup Detected,1.56156,-3.039110994839461
2015-08-24 07:00:00-04:00,Bearish Setup Detected,1.57415,2.9618474246778197
2015-08-24 08:00:00-04:00,Bearish Setup Detected,1.57691,3.762677693799254
2015-08-24 09:00:00-04:00,Bearish Setup Detected,1.57694,3.2847556947142467
2015-08-24 14:00:00-04:00,Bearish Setup Detected,1.57752,2.659920056707798
2015-08-26 06:00:00-04:00,Bullish Setup Detected,1.5625,-2.53795789073127
2015-08-26 07:00:00-04:00,Bullish Setup Detected,1.55803,-3.16296237155222
2015-08-26 08:00:00-04:00,Bullish Setup Detected,1.55775,-2.879217805312975
2015-08-26 09:00:00-04:00,Bullish Setup Detected,1.55665,-2.773869133185259
2015-08-26 10:00:00-04:00,Bullish Setup Detected,1.554,-2.893975318087516
2015-08-26 11:00:00-04:00,Bullish Setup Detected,1.54902,-3.220953435772942
2015-08-26 12:00:00-04:00,Bullish Setup Detected,1.54866,-2.908787249233142
2015-08-26 13:00:00-04:00,Bullish Setup Detected,1.54759,-2.741789249558712
2015-08-26 14:00:00-04:00,Bullish Setup Detected,1.54665,-2.59236992116098
2015-08-31 12:00:00-04:00,Bullish Setup Detected,1.53452,-2.759171091718455
2015-08-31 13:00:00-04:00,Bullish Setup Detected,1.53413,-2.656252587038025
2015-09-03 10:00:00-04:00,Bullish Setup Detected,1.52276,-3.32859278989409
2015-09-04 10:00:00-04:00,Bullish Setup Detected,1.51735,-2.739247534479825
2015-09-08 04:00:00-04:00,Bearish Setup Detected,1.53786,2.5299129841578454
2015-09-10 10:00:00-04:00,Bearish Setup Detected,1.54292,2.8965570924121606
2015-09-10 11:00:00-04:00,Bearish Setup Detected,1.5457,3.6587242289457182
